"sucursal	articulo	cantidad	total"
"madero	LEMON PIE INDIVIDUAL                                                                                                    	8	31600"
"madero	LEMON PIE INDIVIDUAL                                                                                                    	2	7900"
"madero	Marquise ch sinTACC                                                                                                     	1	3950"
"madero	Marquise ch sinTACC                                                                                                     	7	27650"
"madero	Marquise ch sinTACC                                                                                                     	7	27650"
"madero	medialuna grasa                                                                                                        	87	104400"
"madero	medialuna grasa                                                                                                        	90	108000"
"madero	medialuna grasa                                                                                                        	74	88800"
"madero	medialuna grasa                                                                                                        	72	86400"
"madero	medialuna grasa                                                                                                        	26	31200"
"madero	medialuna manteca                                                                                                             	410	492000"
"madero	medialuna manteca                                                                                                             	405	486000"
"madero	medialuna manteca                                                                                                             	395	474000"
"madero	medialuna manteca                                                                                                             	364	436800"
"madero	medialuna manteca                                                                                                             	140	189000"
"madero	moño de frutos rojos                                                                                                    	33	97350"
"madero	moño de frutos rojos                                                                                                    	32	94400"
"madero	moño de frutos rojos                                                                                                    	26	76700"
"madero	moño de frutos rojos                                                                                                    	22	64900"
"madero	moño de frutos rojos                                                                                                    	11	34100"
"madero	PALITO PARMIGIANO                                               	10	28000"
"madero	PALITO PARMIGIANO                                               	10	28000"
"madero	PALITO PARMIGIANO                                               	9	25200"
"madero	PALITO PARMIGIANO                                               	8	22400"
"madero	PALITO PARMIGIANO                                               	3	8400"
"madero	PAN DE CHOCOLATE                                                                                                        	37	99900"
"madero	PAN DE CHOCOLATE                                                                                                        	32	86400"
"madero	PAN DE CHOCOLATE                                                                                                        	28	75600"
"madero	PAN DE CHOCOLATE                                                                                                        	22	59400"
"madero	PAN DE CHOCOLATE                                                                                                        	11	29700"
"madero	PAN DE CHOCOLATE & ALMENDRAS                                                                                            	5	15250"
"madero	PAN DE CHOCOLATE & ALMENDRAS                                                                                            	3	9150"
"madero	PAN DULCE 500G	35	525000"
"madero	PAN DULCE 500G	1	15000"
"madero	PAN LACTAL 1 K                                                                                                          	16	64000"
"madero	PAN LACTAL 1 K                                                                                                          	16	64000"
"madero	PAN LACTAL 1 K                                                                                                          	16	64000"
"madero	PAN LACTAL 1 K                                                                                                          	16	64000"
"madero	PAN LACTAL 1 K                                                                                                          	5	20000"
"madero	PAN LACTAL DE SEMILLAS 1 K                                                                                              	19	93100"
"madero	PAN LACTAL DE SEMILLAS 1 K                                                                                              	16	78400"
"madero	PAN LACTAL DE SEMILLAS 1 K                                                                                              	16	78400"
"madero	PAN LACTAL DE SEMILLAS 1 K                                                                                              	16	78400"
"madero	PAN LACTAL DE SEMILLAS 1 K                                                                                              	5	24500"
"madero	pan suizo                                                                                                               	11	32450"
"madero	pan suizo                                                                                                               	13	38350"
"madero	pan suizo                                                                                                               	8	23600"
"madero	pan suizo                                                                                                               	10	29500"
"madero	pan suizo                                                                                                               	3	8850"
"madero	Pan suizo J & Q                                                                                                         	7	21000"
"madero	Pan suizo J & Q                                                                                                         	7	21000"
"madero	Pan suizo J & Q                                                                                                         	7	21000"
"madero	Pan suizo J & Q                                                                                                         	5	15000"
"madero	Pan suizo J & Q                                                                                                         	3	9000"
"madero	Pan suizo ROQUEFORT                                                                                                     	7	21700"
"madero	Pan suizo ROQUEFORT                                                                                                     	7	21700"
"madero	Pan suizo ROQUEFORT                                                                                                     	7	21700"
"madero	Pan suizo ROQUEFORT                                                                                                     	6	18600"
"madero	Pan suizo ROQUEFORT                                                                                                     	3	9300"
"madero	pan vianez baguetin                                                                                                     	32	57600"
"madero	pan vianez baguetin                                                                                                     	32	57600"
"madero	pan vianez baguetin                                                                                                     	32	57600"
"madero	pan vianez baguetin                                                                                                     	19	34200"
"madero	pan vianez baguetin                                                                                                     	8	14400"
"madero	PAVLOVA  FRUTAL 	1	15000"
"madero	PETIT FOUR                                                                                                              	8	27600"
"madero	PETIT FOUR                                                                                                              	8	27600"
"madero	PETIT FOUR                                                                                                              	2	6900"
"madero	PETIT FOUR                                                                                                              	2	6900"
"madero	ROLL DE CANELA                                                                                                          	9	22050"
"madero	ROLL DE CANELA                                                                                                          	9	22050"
"madero	ROLL DE CANELA                                                                                                          	9	22050"
"madero	ROLL DE CANELA                                                                                                          	8	19600"
"madero	ROLL DE CANELA                                                                                                          	3	8850"
"madero	Scon de queso                                                                                                           	12	24600"
"madero	Scon de queso                                                                                                           	11	22550"
"madero	Scon de queso                                                                                                           	9	18450"
"madero	Scon de queso                                                                                                           	10	20500"
"madero	Scon de queso                                                                                                           	3	6150"
"madero	SEMILLAS 500GR                                                                                                          	9	26550"
"madero	SEMILLAS 500GR                                                                                                          	9	26550"
"madero	SEMILLAS 500GR                                                                                                          	8	23600"
"madero	SEMILLAS 500GR                                                                                                          	3	9600"
"madero	SEMILLAS BAGUETTE 330G                                                                                                  	7	12600"
"madero	SEMILLAS BAGUETTE 330G                                                                                                  	7	12600"
"madero	SEMILLAS BAGUETTE 330G                                                                                                  	7	12600"
"madero	SEMILLAS BAGUETTE 330G                                                                                                  	6	10800"
"madero	SEMILLAS BAGUETTE 330G                                                                                                  	3	5400"
"madero	TARTA FRUTAS ESTACION	6	23700"
"madero	TARTA FRUTAS ESTACION	2	7900"
"madero	TRADITION 1KG                                                                                                           	45	146250"
"madero	TRADITION 1KG                                                                                                           	49	159250"
"madero	TRADITION 1KG                                                                                                           	44	143000"
"madero	TRADITION 1KG                                                                                                           	41	133250"
"madero	TRADITION 1KG                                                                                                           	19	65550"
"madero	TRADITION 500GR                                                                                                         	9	22050"
"madero	TRADITION 500GR                                                                                                         	9	22050"
"madero	TRADITION 500GR                                                                                                         	9	22050"
