sucursal	articulo	cantidad	precio promedio	total
Madero	pan suizo                                                                                                               	22	$  5.940,9091	$  130.700,0
Petrona	pan suizo                                                                                                               	38	$  5.923,6842	$  225.100,0
San Telmo	pan suizo                                                                                                               	30	$  5.500,0	$  165.000,0
Callao	ROLL DE CANELA                                                                                                          	43	$  4.941,8605	$  212.500,0
Madero	ROLL DE CANELA                                                                                                          	39	$  5.053,8462	$  197.100,0
Petrona	ROLL DE CANELA                                                                                                          	23	$  5.030,4348	$  115.700,0
San Telmo	ROLL DE CANELA                                                                                                          	48	$  5.012,50	$  240.600,0
Callao	ROLL QUESO AZUL Y NUEZ	2	$  6.500,0	$  13.000,0
San Telmo	ROLL QUESO AZUL Y NUEZ	1	$  6.500,0	$  6.500,0
Callao	Scon de queso                                                                                                           	28	$  4.185,7143	$  117.200,0
Madero	Scon de queso                                                                                                           	39	$  4.315,3846	$  168.300,0
Petrona	Scon de queso                                                                                                           	46	$  4.419,5652	$  203.300,0
San Telmo	Scon de queso                                                                                                           	32	$  4.087,50	$  130.800,0
